No;ID;pop.dens.2012;ppp.dens.2010;pop.dens.2008;pop.dens.2006;natsch.per.2012;natsch.per.2010;natsch.per.2008;natsch.per.2006;landsch.per.2012;landsch.per.2010;landsch.per.2008;landsch.per.2006;ges.per.2012;ges.per.2010;ges.per.2008;ges.per.2006;natsch.tot.2012;natsch.tot.2010;natsch.tot.2008;natsch.tot.2006;landsch.tot.2012;landsch.tot.2010;landsch.tot.2008;landsch.tot.2006;ges.tot.2012;ges.tot.2010;ges.tot.2008;ges.tot.2006;Aus.2012;Aus.2010;Aus.2008;Aus.2006;BIP.cap.2006;BIP.cap.2008;BIP.cap.2010;BIP.cap.2012;BWS.agr.2006;BWS.agr.2008;BWS.agr.2010;BWS.agr.2012;BWS.prod.2006;BWS.prod.2008;BWS.prod.2010;BWS.prod.2012;BWS.ser.2006;BWS.ser.2008;BWS.ser.2010;BWS.ser.2012;pop.2012;pop.2010;pop.2008;pop.2006;a.2012;a.2010;a.2008;a.2006
1;SH;178,00;179,00;179,00;179,00;11,10;11,00;10,50;10,50;35,30;35,30;34,50;36,00;52,90;52,80;52,00;49,30;1747,48;1740,41;1654,82;1653,92;3626,01;3803,62;3786,30;3509,79;5373,49;5544,03;5441,12;5163,71;NA;92,89099526;97,18172983;133,5992024;24236,29;24993,20;24212,32;24964,91;0,61;0,63;0,52;0,54;38,62;38,28;38,00;38,98;60,77;61,09;61,47;60,48;2806530,00;2834260,00;2834260,00;2834250,00;15808,10;15808,10;15808,10;15808,10
2;HH;2305,00;2372,00;2353,00;2329,00;10,80;10,60;10,40;10,40;35,60;35,60;34,90;35,10;47,00;47,00;46,30;46,40;80,92;79,61;78,57;78,16;137,28;138,91;139,02;140,52;218,19;218,52;217,59;218,68;NA;100,4739336;77,74538387;88,7337986;49522,43;50690,96;48489,10;48527,24;1,02;1,13;0,88;0,89;31,43;31,20;32,97;33,62;67,55;67,67;66,14;65,49;1734270,00;1786450,00;1772100,00;1754180,00;750,90;750,90;750,90;750,90
3;NI;165,00;166,00;166,00;167,00;11,50;11,50;11,40;10,30;10,80;10,70;9,40;9,40;18,50;18,40;17,20;17,10;5502,15;5491,46;5460,26;4939,78;13228,10;12476,60;12446,30;12592,20;18730,25;17968,06;17906,56;17531,98;NA;106,1611374;89,40719145;79,76071785;24689,93;25893,10;25865,40;27270,54;0,02;0,01;0,01;0,01;16,52;17,26;17,41;16,64;83,46;82,73;82,58;83,36;7887320,00;7918290,00;7947240,00;7982690,00;47730,80;47730,80;47730,80;47730,80
4;HB;1328,00;1600,00;1669,00;1674,00;23,40;18,40;22,80;22,80;26,20;26,20;25,80;25,80;52,70;52,70;52,30;52,30;96,33;96,69;96,70;96,93;32,28;31,41;31,58;31,06;128,61;128,10;128,28;127,99;NA;53,08056872;53,44995141;30,90727817;38454,64;39481,05;37621,80;38830,10;1,62;2,17;1,78;1,93;25,95;27,42;27,55;28,07;72,43;70,42;70,67;70,01;546451,00;660706,00;661866,00;663979,00;411,70;411,70;411,70;411,70
5;NW;515,00;523,00;526,00;529,00;11,30;11,20;10,90;10,60;7,80;6,90;7,50;7,50;31,20;25,40;30,30;30,30;3854,91;3820,07;3729,31;3615,98;17787,70;17588,00;17529,30;16774,90;21642,61;21408,07;21258,61;20390,88;NA;314,6919431;209,9125364;424,7258225;28138,58;29962,10;29280,57;30361,96;0,05;0,04;0,03;0,04;29,41;27,15;27,13;27,20;70,54;72,81;72,84;72,76;17554300,00;17845200,00;17933100,00;18028700,00;34112,30;34112,30;34112,30;34112,30
6;HE;285,00;287,00;287,00;288,00;21,20;21,20;21,20;21,20;18,20;18,40;18,50;18,70;29,00;29,00;28,90;29,00;4480,03;4468,10;4467,69;4468,33;7194,80;7144,19;7142,41;7987,59;11674,83;11612,29;11610,10;12455,92;NA;155,450237;178,8143829;141,5752742;34842,47;35749,27;34107,11;34493,07;0,11;0,10;0,09;0,11;16,43;16,27;15,88;16,64;83,46;83,63;84,04;83,25;6016480,00;6067020,00;6064950,00;6075360,00;21115,40;21115,40;21115,40;21115,40
7;RP;201,00;202,00;203,00;204,00;19,70;19,60;19,20;17,60;34,10;33,80;33,80;37,80;55,30;55,00;55,00;59,00;3902,46;3899,11;3819,17;3484,78;8087,16;7983,64;7575,13;7674,77;11989,62;11882,75;11394,30;11159,55;NA;138,3886256;134,1107872;141,5752742;24998,01;25906,71;26129,86;27454,29;0,41;0,50;0,40;0,38;24,18;23,60;24,46;24,08;75,41;75,90;75,14;75,54;3990280,00;4003750,00;4028350,00;4052860,00;19851,90;19851,90;19851,90;19851,90
8;BW;296,00;301,00;301,00;300,00;17,50;17,50;17,50;13,30;14,60;14,00;14,10;16,20;44,70;44,20;44,10;37,50;6266,17;6262,71;6248,71;4742,77;12627,80;12623,30;12333,70;12877,30;18893,97;18886,01;18582,41;17620,07;NA;194,3127962;190,4761905;207,3778664;31691,92;32888,24;32255,92;33775,62;2,76;3,70;2,86;3,29;20,53;20,85;20,45;20,46;76,71;75,45;76,69;76,25;10569100,00;10753900,00;10749500,00;10738800,00;35747,70;35747,70;35747,70;35747,70
9;BY;177,00;178,00;177,00;177,00;11,40;11,40;11,30;11,30;27,70;26,10;26,00;26,30;39,20;37,70;37,50;36,70;8052,00;8047,88;8003,04;8001,49;25130,50;25135,70;24642,20;24759,90;33182,50;33183,58;32645,24;32761,39;NA;371,563981;367,3469388;418,7437687;31608,18;32557,82;32993,36;34619,58;1,63;1,93;1,58;1,55;31,62;31,29;31,64;31,85;66,76;66,78;66,78;66,60;12519600,00;12538700,00;12519700,00;12492700,00;70542,10;70542,10;70542,10;70542,10
10;SL;387,00;396,00;401,00;406,00;12,30;12,30;12,30;12,00;52,10;51,60;51,40;49,20;63,40;62,80;62,30;59,80;316,79;316,52;315,35;308,01;1560,42;1560,77;1548,43;1387,11;1877,21;1877,29;1863,78;1695,12;NA;34,12322275;32,06997085;94,71585244;27988,04;29286,69;27661,61;29048,01;0,47;0,51;0,48;0,52;29,94;30,41;29,44;29,14;69,59;69,08;70,08;70,34;994287,00;1017570,00;1030320,00;1043170,00;2571,00;2571,00;2571,00;2571,00
11;BE;3788,00;3884,00;3851,00;3820,00;7,80;7,70;7,80;7,70;40,70;40,20;38,20;38,70;60,40;59,90;57,40;56,20;69,08;68,33;69,09;68,74;96,15;95,72;83,98;83,99;165,23;164,04;153,07;152,72;NA;111,8483412;83,57628766;115,6530409;25335,00;26985,42;27163,98;27576,18;1,40;1,50;1,32;1,31;34,56;34,40;34,29;35,52;64,04;64,10;64,38;63,16;3375220,00;3460730,00;3431680,00;3404040,00;891,10;891,10;891,10;891,10
12;BB;83,00;84,00;85,00;86,00;26,60;26,50;26,50;26,50;60,70;60,70;60,20;54,00;73,00;73,00;72,50;65,90;7874,27;7868,38;7863,34;7861,92;7763,17;7762,93;7654,11;7659,01;15637,44;15631,31;15517,45;15520,93;NA;149,7630332;143,8289602;161,5154536;19269,19;20387,76;20576,30;21210,53;0,17;0,21;0,20;0,20;36,75;37,27;34,06;35,79;63,08;62,53;65,74;64,01;2449510,00;2503270,00;2522490,00;2547770,00;29653,40;29653,40;29653,40;29653,40
13;MV;69,00;71,00;72,00;73,00;30,10;30,10;30,00;21,20;28,30;28,20;28,00;27,70;44,20;44,10;43,90;43,60;7010,32;7006,28;7004,66;4956,85;3398,39;3269,43;3275,16;3775,49;10408,71;10275,71;10279,82;8732,34;NA;164,92891;162,2934888;131,6051844;18480,56;19819,24;19849,29;20750,69;0,91;1,20;0,96;1,09;30,83;31,22;31,40;30,61;68,27;67,58;67,64;68,30;1600330,00;1642330,00;1664360,00;1693750,00;23279,90;23279,90;23279,90;23279,90
14;SN;220,00;225,00;227,00;230,00;15,90;15,90;15,90;15,90;32,90;32,80;31,30;31,10;44,70;44,50;43,00;42,70;2936,17;2935,04;2934,84;2933,99;5218,64;5199,65;5171,29;5109,18;8154,81;8134,69;8106,13;8043,17;NA;125,1184834;136,0544218;125,6231306;20330,01;21150,63;21058,77;21729,46;1,54;2,40;1,95;2,38;31,54;33,10;33,18;32,86;66,92;64,50;64,88;64,76;4050200,00;4149480,00;4192800,00;4249770,00;18449,50;18449,50;18449,50;18449,50
15;ST;110,00;114,00;116,00;119,00;11,70;11,70;11,70;11,60;22,90;24,10;24,00;22,20;34,00;35,10;34,40;32,70;2410,05;2399,59;2397,16;2384,60;6771,27;6742,48;6436,51;6386,23;9181,32;9142,07;8833,67;8770,83;NA;132,7014218;83,57628766;140,5782652;19263,21;20391,64;20508,06;21074,79;1,49;1,80;1,44;1,43;25,17;24,57;23,34;23,46;73,34;73,63;75,21;75,11;2259390,00;2335010,00;2381870,00;2441790,00;20555,80;20555,80;20555,80;20555,80
16;TH;134,00;138,00;140,00;143,00;17,00;17,00;17,00;17,00;27,40;25,60;21,90;20,00;44,40;42,60;38,90;36,90;2757,46;2756,27;2751,82;2750,76;4438,91;4141,28;3543,36;3233,04;7196,37;6897,55;6295,18;5983,80;NA;123,2227488;114,6744412;119,6410768;18682,95;19610,30;19768,72;20733,15;1,38;1,68;1,44;1,91;33,53;33,96;33,87;33,67;65,08;64,36;64,70;64,43;2170460,00;2235030,00;2267760,00;2311140,00;16202,60;16202,60;16202,60;16202,60
